Scheme Name	Net Asset Value
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2197
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.4158
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	29.5569
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.3738
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.1489
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1947.8218
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1244.2008
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3378.9054
Invesco India Corporate Bond Fund - Direct Plan - Growth	3377.8427
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1253.8959
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1368.8809
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3312.6183
Invesco India Corporate Bond Fund - Growth	3153.8776
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1807.6977
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1176.7202
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3903.5222
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1077.0352
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3740.3733
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1218.469
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	12.9088
Mirae Asset Corporate Bond Fund Direct IDCW	12.9060
Mirae Asset Corporate Bond Fund Regular Growth	12.6739
Mirae Asset Corporate Bond Fund Regular IDCW	12.6739
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0548
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0553
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	19.7754
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7390
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.3732
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.0623
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	44.5564
